first_name	last_name	sessioon	sessiooniettepanek	contribution_type (registreerimisvormil)	tasu laekunud	vastas piletite küsimusele	ajasoovid	contribution_title	contribution_coauthors	contribution_abstract
Zbigniew	Oziewicz	talkGACurriculum		talk	Yes			How one can teach double integral without Grassmann algebra?		2. How one can teach double integral without Grassmann algebra? For Workshop `Geometric algebra in High School'. David Hestenes in 1966 published magnicent small book Space-Time algebra that I read in one breath as a revolutionary easy explication of all fundamental concepts of mathematics and mathematical physics in terms of a most beautiful Cli fford algebra for which Hestenes proposed a new name Geometric algebra (the name Cli fford algebra was previously established in the mathematical literature by Sommerfeld since 1923, Cartan in 1937 page 85, Chevalley 1954, Atiyah 1964, etc). I must always remember Garret Sobczyk, Hestenes's Ph. D. student (Thesis in 1971) - Garret's fascinating 1971-Seminar lecture brought Cli ord algebra to Poland. Enthusiastic acceptance of Cli fford algebras put in shadows the Hermann Grassmann algebra. I wish to discuss the importance in mathematical education of the Grassmann algebra versus Cli fford algebra. It is hard to understand order of many entries in the 2010-Mathematical Subject Classication scheme, where Cliff ord algebra in entry 15 proceeds more fundamental free tensor product, graded algebra, Grassmann algebra, Frobenius algebra (each Cli fford algebra is Frobenius), and metric is classied in entry 51, whereas...
John	Snygg	talkGACurriculum			Yes	Coming		Proper rotations for cube and tetrahedron		
Garret	Sobczyk	talkGACurriculum						Idempotents, Nilpotents and Geometric Numbers		
Daniel	Alpay	talkPlenary		talk	(Waived)		before Sabadini	Schur analysis in the quaternionic setting”	Fabrizio Colombo and Irene Sabadini	Schur analysis can be seen as a collection of problems pertaining to functions analytic and contractive in the open unit disk (Schur functions) in the setting of classical analysis, operator theory and signal processing. Schur functions and Schur analysis have been extended to a number of settings, as diverse as compact Riemann surfaces and upper triangular operators. In the talk we begin with a brief survey of Schur analysis. We then consider the quaternionic setting, first in the framework of Fueter series, and then in the setting of slice-hyperholomorphic functions. 
Pierre	Anglès	talkPlenary		talk	Yes	Coming		1°) Conformal spin structures		First Lecture.Let E(p,q)be a standard regular n-dimensional pseudo-Euclidean space;let C(p,q)be its associated Clifford algebra and  PO(p+1,q+1) be the corresponding conformal group of the conformal compactified of E(p,q).Conformal spin structures on Riemannian and  pseudo-Riemannian manifolds will be given,the study of which will be linked to groups called conformal spinoriality groups . The study of  pseudo-unitary conformal spin structures will be given, following the same pattern.A way for the study of conformal symplectic spin structures  will be sketched. 
Carlos 	Castro Perelman 	talkPlenary		talk	(Waived)	Coming	not Aug 9	Novel Physical Consequences of Clifford Space Relativity Theory 		Novel physical consequences of the Extended Relativity Theory in C-spaces (Clifford spaces) are explored. The latter theory provides a very different physical explanation of the phenomenon of "relativity of locality" than the one described by the Doubly Special Relativity (DSR) framework. Furthermore, an elegant nonlinear momentum-addition law is derived in order to tackle the "soccer-ball'' problem in DSR. Neither derivation in C-spaces requires a curved momentum space nor a deformation of the Lorentz algebra. While the constant (energy-independent) speed of photon propagation is always compatible with the generalized photon dispersion relations in C-spaces, another important consequence is that these generalized photon dispersion relations allow also for energy-dependent speeds of propagation while still retaining the Lorentz symmetry in ordinary spacetimes, while breaking the extended Lorentz symmetry in C-spaces. This does not occur in DSR nor in other approaches, like the presence of quantum spacetime foam. We conclude with some comments on generalized gravitational theories in C-spaces, Born's Reciprocal Relativity Theory and the generalized uncertainty relations. 
Oliver	Conradt	talkPlenary	geometric algebra	talk	Yes	Coming		Projective Algebra Λn		Projective algebra is defined as a double algebra Λn(+, ,∧,∨) together with an equivalence and a position relation. There is no metric present in pure projective geometry. The same holds for the 2n dimensional algebra Λn(+, ,∧,∨). Geometric concepts such as primitive geometric forms, the principle of duality, cross ratio and projective mappings are introduced. Projective mappings Φ preserve the ∧ and the ∨ product; one of both by definition, the second up to the factor detΦ. Binary indices for the basic elements of the projective algebra facilitate computations. The transition from projective to geometric Clifford algebra will be given.
David	Eelbode	talkPlenary		talk	Yes	Coming		(1) Transvector algebras in Clifford analysis		(1) The starting point for this talk is the observation that classical harmonic and Clifford analysis are related to the representation theory for the Lie algebra sl(2) or its orthosymplectic refinement osp(1,2). These objects appear quite naturally as the Howe dual for the spin group, which acts on the space of smooth functions on Rm with values in either the trivial or spinor representation. In recent years it has become clear that Clifford analysis techniques can also be used to study more complicated conformally invariant differential operators (as classified by Fegan in his seminal paper from 1976), which then act on functions on Rm with values in more complicated representations for the spin group. Despite the fact that the algebraic framework describing the Howe duality in several variables is well-understood, in terms of the symplectic Lie algebra sp(2k) or its refinement osp(1,2k), we believe that this is not the only algebra which appears naturally within the setting of higher spin analysis. The aim of the lecture therefore, is to introduce the so-called transvector algebras (which are related to Yangians, as introduced in the framework of the Yang-Baxter equation) and to explain how they show up in various aspects of higher dimensional analysis.
Klaus	Guerlebeck	talkPlenary		talkAnalysis	(Waived)	Coming		On ψ-hyperholomorphic functions	Sebastian Bock, Nguyen Manh Hung, Daniel-Weisz-Patrault	The theory of monogenic quaternion valued or Clifford algebra valued functions can be seen as refinement of harmonic analysis and as generalization of the complex function theory of holomorphic functions. We will follow in the talk the line of generalizing the complex function theory. Main topics are the characterization of hyperholomorphic functions by their geometrical mapping properties, the derivability and the construction of Taylor-type series expansions based on certain polynomial Appell systems. In a second step the relation of ψ-hyperholomorphic functions to harmonic functions will be studied in the non-trivial case of mappings from R3↦R3 and an additive decomposition of harmonic functions in terms of ψ-hyperholomorphic functions will be proved. As applications we will discuss geometric properties of ψ-hyperholomorphic functions and the application to boundary value problems from linear elasticity. 
Charles	Gunn	talkPlenary		talk	Yes	Coming	not Aug 4 (arriving flight Aug 4 17:30, leaving flight Aug 9 18:15 from Tallinn Airport)	1) "Geometric algebras for euclidean geometry"		1) We discuss and compare existing GA models for doing euclidean geometry. We begin by clarifying a set of fundamental terms which carry conflicting meanings in the literature, including Rn, euclidean, homogeneous model, and duality. Equipped with these clarified concepts, we establish that the dual projectivized Clifford algebra P(R∗n,0,1) deserves the title of standard homogeneous model of euclidean geometry (we also call it projective geometric algebra). We then turn to a comparison with the other main candidate for doing euclidean geometry, the conformal model. We establish that these two algebras exhibit the same formal feature set for doing euclidean geometry. We then compare them with respect to a set of practical criteria.
Eckhard	Hitzer	talkPlenary		talkFourierAndWavelets	Yes	Coming		Quaternion Domain Fourier Transformation		So far quaternion Fourier transforms have been mainly defined over R2 as signal domain space. But it seems natural to define a quaternion Fourier transform for quaternion valued signals over \textit{quaternion domains}. Such signals may e.g. represent vector fields in space and time. The quaternion domain Fourier transform thus developed may also be useful for solving quaternion partial differential equations or functional equations, three-dimensional time-dependent color field (space color video) processing, and in crystallography. We define the \textit{quaternion domain Fourier transform} and analyze its \textit{main properties}, including quaternion dilation, modulation and shift properties, Plancherel and Parseval identities, covariance under orthogonal transformations, transformations of coordinate polynomials and differential operator polynomials, transformations of derivative and Dirac derivative operators, as well as signal width related to band width uncertainty relationships.
Uwe	Kaehler	talkPlenary		talkAnalysis	Yes	Coming		Fractional Clifford Analysis	P. Cerejeiras, N. Vieira	later
Igor	Kanatchikov	talkPlenary	quantum mechanics, gravity, applications of Clifford analysis. Kanatchikov wanted "general session" (his other talk is in the SM workshop).	talk	Yes	Coming		1) Precanonical quantization, quantum gravity and Clifford analysis (General session) "Geometric Algebra and Calculus in the Standard Model of Particle Physics")		1) I will outline the precanonical approach to field quantization which leads to a generalization of quantum theoretic formalism were the space-time Clifford algebra replaces the complex numbers in quantum mechanics: both the wave functions and operators are Clifford-valued. The approach also leads to a Dirac-like generalization of the Schroedinger equation with the mass term replace by the De Donder-Weyl Hamiltonian operator. This formulation leads to an interesting class of problems which can be studied using the techniques of Clifford analysis. I will also discuss how the precanonical approach leads to a nonperturbative quantization of gravity where the quantum geometry is described by Clifford-valued transition amplitudes between different values of spin connection at different points. I show that the fundamental equation which describes the quantum geometry in this approach is a Clifford-algebraic matrix multi-variable generalization of the confluent hypergeometric equation. Thus the needs of quantum gravity call for a study of generalizations of hypergeometric functions within the Clifford analysis.
Irene	Sabadini	talkPlenary		talkAnalysis	Yes	Coming	after Alpay	1) Some functions spaces in the slice hyperholomorphic setting	Daniel Alpay, Vladimir Bolotnikov,  Fabrizio Colombo, J. Oscar Gonzales-Cervantes, Guy Salomon	1) In this talk we will discuss some function spaces of slice hyperholomorphic functions. In particular, we will treat the case of the Hardy space on the unit ball and on the half space, Blaschke products and applications, like the Krein-Langer factorization. We will also introduce the two formulations of the Bergman theory in this setting and show the relations between them. Finally, if the time permits, we will sketch the notion of Fock space. 
G Stacey	Staples	talkPlenary		talk	Yes	Coming		Operator Calculus on Clifford Algebras: Combinatorics to Quantum Probability		For nondegenerate quadratic form Q on finite vector space V, multiplication in the Clifford algebra CℓQ(V) has a natural interpretation as the sum of lowering (annihilation) and raising (creation) operators. The study of these operators lies at the interface of algebraic combinatorics, operator theory and quantum probability. Their inherent combinatorial properties lead to applications in graph theory, coding theory, probability theory, and more. In many cases, they lend themselves to convenient symbolic computations using Mathematica. In this talk, I will discuss some of these properties, reveal some connections with Kravchuk polynomials, and discuss combinatorial properties and applications of induced and reduced operators on Clifford, Grassmann, and zeon algebras. 
Jose G.	Vargas	talkPlenary		talkStandardModel	(Waived)	Coming	(leaving in late afternoon Aug 9 or Aug 10)	1. Helmholtz-Hodge Theorems: Unification of Integration and Decomposition Perspectives.		1. We develop a Helmholtz-like theorem for differential forms in Euclidean space E_n using a uniqueness theorem similar to the one for vector fields. We then apply it to Riemannian manifolds, R_n, which, by virtue of the Schlafli-Janet-Cartan theorem of embedding, are here considered as hypersurfaces in E_N with N greater than or equal to n(n+1)/2. We obtain a Hodge decomposition theorem that includes and goes beyond the original one, since it specifies the terms of the decomposition. We then view the same issue from a perspective of integrability of the system dα =μ, δα =ν relating boundary conditions to solutions of dα=0, δα =0,[δ is what goes by the names of divergence and co-derivative, inappropriate for the Kaehler calculus, which has been used to obtain the foregoing].
Eiman	Abou El Dahab	notComing		talk		Not coming				
neggal	Bilel	talkProbablyNotComing	numerical integration	poster				Convergence of the Regularized Sinc Collocation Method Applied to First kind Fredholm Integral Equation	Pr: F. Rebbani	In this study one of the new techniques is used to solve numerical problems involving integral equations known as regularized sinc-collocation method. This method has been shown to be a powerful numerical tool for finding accurate solutions. So, in this talk, some properties of the regularized sinc-collocation method required for our subsequent development are given and are utilized to reduce integral equation of the first kind to some algebraic equations. Then by a theorem we show error in the approximation of the solution decays at an exponential rate. Finally, numerical examples are included to demonstrate the validity and applicability of the technique.
Rolf	Dahm	talkProbablyNotComing		talk				TBA		TBA
EDUARDO	HERNÁNDEZ HUERTA	talkProbablyNotComing		talk				LOS OCTONIOS BICOMPLEJOS.		Se da la definición del álgebra de los octonios bicomplejos y de una familia de álgebras relacionadas. 
Mariusz	Klimek	talkProbablyNotComing		talk						
Arif	Salimov	talkProbablyNotComing		talk						
Claude	Daviau	talkStandardModel		talkStandardModel	Yes	Coming	(leaving Aug 9 18:00)	Gauge group of the standard model in Cl5,1		ABSTRACT. Describing a wave with spin 1/2, the Dirac equation is form invariant under a group which is not the Lorentz group. This SL(2,C) group is a subgroup of Cl∗3=GL(2,C) which is the true group of form invariance of the Dirac equation. Firstly we use the Cl3 algebra to read all features of the Dirac equation for a wave with spin 1/2. We extend this to electromagnetic laws. Next we use both the Cl3 algebra and the space-time algebra to get the gauge group of the electro-weak interactions, first in the leptonic case, electron+neutrino, next in the quark case. The complete wave for all objects of the first generation uses two supplementary dimensions of space and the Clifford algebra Cl5,1. It is a function of the usual space-time with value into this enlarged algebra. The gauge group is then enlarged into a U(1)×SU(2)×SU(3) Lie group in a way which gives automatically the insensitivity of electrons and neutrinos to strong interactions. This study gives new insights for many features of the standard model. It explains also how to get three generations and four kinds of neutrinos. We encounter not only two remarkable identities, we are able to explain several enigmas, like the existence of the Planck constant or why the great unification based on SU(5) could not be successful. We consolidate both the standard model and the use of Clifford algebras as the true mathematical frame of quantum physics. We present in concluding remarks a simple solution to integrate together gravitation and quantum physics. Then the only great domain of physics which remains to study is the electromagnetism with magnetic monopoles.
Cohl	Furey	talkStandardModel		talkStandardModel	Yes	Coming		Charge Quantization from a Number Operator		In the early seventies, Gunaydin and Gursey discovered SUc(3) quark structure in the split octonions. Using their anti-commuting ladder operators, αi, we show a direct route to a new U(1) generator. This U(1) generator behaves like electric charge, thereby allowing us to further identify states behaving like the electron and neutrino. Our proposed electric charge turns out to be proportional to a number operator, consequently illuminating why it is quantized. Using only this trio of ladder operators, and their conjugates, we construct a pair of minimal left ideals, which is shown to transform under SUc(3) and Uem(1) as does a full generation of the standard model. 
Igor	Kanatchikov	talkStandardModel		talkStandardModel	Yes	Coming		2) On the structure of Standard Model from the point of view of precanonical quantization (in "Geometric Algebra and Calculus in the Standard Model of Particle Physics")		2) The approach of precanonical quantization of fields leads to a generalization of quantum theoretic formalism from mechanics to field theory. where the space-time Clifford algebra (which arises from quantization of differential forms) plays as important role as the complex numbers in quantum mechanics do. In this approach the space-time variables are treated on the equal footing and they play a role of the multidimensional analogue of the time parameter in quantum mechanics. I briefly discuss the relation between precanonical quantization and the standard QFT in the functional Schroedinger representation and few interesting consequences of the application of precanonical quantization in the context of perturbative QFT (an application to quantum gravity will be discussed in the talk at the general session). I also demonstrate that precanonical quantization of fermions naturally leads to the restriction of the number of fermionic fields which we can be incorporated into the (precanonically quantized) theory simultaneously in the way compatible with the standard functional Schroedinger representation. The number of fermions can not exceed the ability of the most general Clifford number on the space-time to embed the fermions in a linear way. This fact may have consequences for our understanding of the origin of symmetries of the Standard Model, as the latter should be related to the linear automorphisms of the space-time Clifford algebra and the dimensionality of the space-time, and also shed light on the possible nature of the generations of fundamental fermions. 
Nikolay	Marchuk	talkStandardModel		talkStandardModel				One spectral property of Yang-Mills operator		Yang-Mills equations are used in Standard Model of elementary particles for description of electroweak and strong interactions. Consider an eigenvalue problem for the Yang-Mills operator. We've found one nonzero eigenvalue and corresponding eigenvector for the Yang-Mills operator. On this basis we present a new class of gauge invariant solutions of the Yang-Mills equations. 
Gene	McClellan	talkStandardModel		talkStandardModel	Yes	Coming		A Laboratory-Frame View of the Dirac Electron Field Using Geometric Algebra		The geometric algebra and calculus of 3-D Euclidean space in a laboratory frame is sufficient to formulate and solve the Dirac equation as well as the Maxwell equations. The Dirac electron field at a given point in space is expressed as a linear combination of the algebraic basis elements of the geometric algebra of the tangent space at that point. The eight independent basis elements of the geometric algebra are sufficient to substitute for the eight independent quantities in the four complex components of the traditional Dirac spinor, providing a geometric interpretation of the Dirac field as first proposed by Hestenes. Most authors have worked with covariant formulations of the Maxwell and Dirac equations expressed in spacetime algebra (STA); however, a spacetime split of these equations yields equivalent equations for any given laboratory frame. Expressing the Dirac field in the laboratory frame greatly facilitates visualization of solutions of the Dirac equation and provides insight into the nature of spin up vs. spin down states and the distinction between electron and positron states. This presentation will include animations illustrating the Dirac fields for states at rest. Comparison with electromagnetic plane waves suggests physical insight into electron-positron annihilation, a basic process of the Standard Model.
Garret	Sobczyk	talkStandardModel		talkStandardModel	 			Geometry of Spin 1/2 Particles		The geometric algebras of space and spacetime are derived by sucessively extending the real number system to include new mutually anticommuting square roots of +1 and -1. The quantum mechanics of spin 1/2 particles are then expressed in these geometric algebras. Classical 2 and 4 component Cartan spinors are represented by geometric numbers which have parity, providing new insight into the familiar bra-ket formalism of Dirac. The classical Dirac Equation is shown to be equivalent to the Dirac-Hestenes equation, so long as the issue of parity is not taken into consideration, the latter quantity being constructed in such a way that it is parity invariant. [1.] L. Susskind, 9 Lectures: "Quantum Entanglements, Part 1", Stanford University 2008. [2.] G. Sobczyk, "New Foundations in Mathematics: The Geometric Concept of Number", Birkh\"auser, N.Y. 2013. 
Thierry	Socroun	talkStandardModel		talkStandardModel		Coming	(leaving flight Aug 9 18:00)	Clifford to unify General Relativity and Electromagnetism		A double transformation of the usual Lagrangian for a particle (1) and a test particle (2), and the right values of integration constants make it possible to unify General Relativity and Electromagnetism. The new Lagrangian has to be completely symmetric between the 2 particles and is no longer real but is a Clifford. The new theory will then contain the Dirac equation and the Reissner-Nordstrom solution which are both limit cases.
Piotr	Zenczykowski	talkStandardModel		talkStandardModel	Yes	Coming	(leaving flight Aug 9 17:55)	From Clifford Algebra of Nonrelativistic Phase Space to Quarks and Leptons of the Standard Model		The talk will review a Clifford-algebra-related approach to elementary particles recently presented in my book "Elementary Particles and Emergent Phase Space" (World Scientific). The proposed scheme succesfully explains several features of a single generation of elementary particles (as defined in the Standard Model). The review will contain several interrelated parts: 1) BACKGROUND: a) a philosophical background motivating a maximally symmetric treatment of position and momentum variables (whence phase space), b) an analysis of what current theory and phenomenology really tell us about the concept of quark mass (i.e. the minimal assumptions needed in quark mass extraction procedures) 2) CLIFFORD ALGEBRA of NONRELATIVISTIC PHASE SPACE c) an introduction of a novel variation on Born's reciprocity idea which provides a new possible view on the problem of mass, d) a presentation of author's original approach to space quantization based on Dirac-like linearization of nonrelativistic quadratic form p^2+x^2 (with momentum and position satisfying standard commutation relations), which leads to the emergence of internal quantum numbers naturally identifiable with isospin and colour, 3) CONNECTION TO CURRENT MODELS OF ELEMENTARY PARTICLES e) a comparison of the resulting Clifford-algebra-based explanation of a single generation of elementary particles with that provided by the celebrated Harari-Shupe rishon (subquark) model. f) a discussion of how the additivity of momenta may be generalized and used in the construction of hadrons as composite systems of quarks, together with a proposal for a restoration of special relativity at the colourless hadronic level. 
Jose G.	Vargas	talkStandardModel		talkStandardModel	(Waived)	Coming	(leaving in late afternoon Aug 9 or Aug 10)	2. U(1) x SU(2) x SU(3) from the Tangent Bundle		2. In this paper, we revisit E. Kaehler's treatment of Poincare symmetry as it reflects itself in members of the left ideals ---in the Clifford algebra of scalar-valued differential forms--- generated by primitive idempotents for time translation and third component of angular momentum symmetry (read rest mass and spin). We replace that algebra with a Clifford algebra of Clifford-valued differential forms that makes the unit imaginary unnecessary. It has a commutative subalgebra of ``mirror elements'', i.e. where the valuedness is dual to the differential form and where even the idempotents for components of angular momentum commute. In Kaehler's treatment, total angular momentum is a differential 2−form operator (not a vector operator!). One need not first square it before using it. Of course, one reproduces standard results from repeated application of the operator. Additional subtleties and enhanced computational power follow from reproducing his treatmen in the commutative subalgebra. The so enriched theory of angular momentum and of primitive idempotents becomes the foundation for an interplay of all three components of angular momentum and time and space translations. The expansion of the set of primitive idempotents uncovers an algebraic representation of quarks, which does not mean, however, similar behavior for the new members of that set. Quarks are "different type particles". An algebraic stoichiometry of fundamental particles emerges in that commutative algebra. It includes neutron decay and pair creation-annihilation. The geometric nature of the algebras involved makes obvious why there are only three generations with two flavors each, only three colors and why the triple of electron, muon and tau are respectively associated with the three generations.
										
		notComing	11				repliedRows	78		
		nothing	22				ComingRows	67		
		talkProbablyNotComing	5							
		talkPlenary	13							
		talkGeometry	4							
		talkTernary	3							
		talkAlgebra	4							
		talkPhysics	8							
		talkAnalysis	19							
		talkStandardModel	9							
		talkGACurriculum	6							
		talkFourierAndWavelets	3							
		talkFromSignalsToConsciousness	8							
		talkConformal	3							
		kokku (kontrollsumma)	118							
		kokku ettekandeid	80							
		kokku paralleelsessioonides ettekandeid	63							